"ID" "block" "cond" "N" "accuracy" "sd" "se" "ci"
"83" 6 8 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"84" 6 9 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"85" 6 10 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"86" 6 11 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"87" 6 12 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"88" 6 13 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"89" 6 14 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"90" 6 15 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"91" 7 1 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"92" 7 2 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"93" 7 3 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"94" 7 4 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"95" 7 5 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"96" 7 6 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"97" 7 7 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"98" 7 8 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"99" 7 9 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"100" 7 10 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"101" 7 11 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"102" 7 12 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"103" 7 13 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"104" 7 14 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"105" 7 15 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"106" 8 1 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"107" 8 2 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"108" 8 3 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"109" 8 4 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"110" 8 5 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"111" 8 6 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"112" 8 7 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"113" 8 8 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"114" 8 9 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"115" 8 10 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"116" 8 11 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"117" 8 12 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"118" 8 13 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"119" 8 14 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"120" 8 15 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"121" 9 1 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"122" 9 2 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"123" 9 3 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"124" 9 4 "nrep" 15 0.133333333333333 0.351865775274498 0.0908513525158996 0.194856771455429
"125" 9 5 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"126" 9 6 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"127" 9 7 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"128" 9 8 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"129" 9 9 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"130" 9 10 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"131" 9 11 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"132" 9 12 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"133" 9 13 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"134" 9 14 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"135" 9 15 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"136" 10 1 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"137" 10 2 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"138" 10 3 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"139" 10 4 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"140" 10 5 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"141" 10 6 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"142" 10 7 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"143" 10 8 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"144" 10 9 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"145" 10 10 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"146" 10 11 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"147" 10 12 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"148" 10 13 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"149" 10 14 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"150" 10 15 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"151" 11 1 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"152" 11 2 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"153" 11 3 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"154" 11 4 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"155" 11 5 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"156" 11 6 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"157" 11 7 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"158" 11 8 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"159" 11 9 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"160" 11 10 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"161" 11 11 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"162" 11 12 "nrep" 15 1 0 0 0
"163" 11 13 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"164" 11 14 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"165" 11 15 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"166" 12 1 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"167" 12 2 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"168" 12 3 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"169" 12 4 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"170" 12 5 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"171" 12 6 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"172" 12 7 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"173" 12 8 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"174" 12 9 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"175" 12 10 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"176" 12 11 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"177" 12 12 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"178" 12 13 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"179" 12 14 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"180" 12 15 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"181" 13 1 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"182" 13 2 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"183" 13 3 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"184" 13 4 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"185" 13 5 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"186" 13 6 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"187" 13 7 "nrep" 15 1 0 0 0
"188" 13 8 "nrep" 15 1 0 0 0
"189" 13 9 "nrep" 15 1 0 0 0
"190" 13 10 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"191" 13 11 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"192" 13 12 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"193" 13 13 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"194" 13 14 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"195" 13 15 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"196" 14 1 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"197" 14 2 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"198" 14 3 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"199" 14 4 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"200" 14 5 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"201" 14 6 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"202" 14 7 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"203" 14 8 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"204" 14 9 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"205" 14 10 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"206" 14 11 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"207" 14 12 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"208" 14 13 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"209" 14 14 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"210" 14 15 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"211" 15 1 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"212" 15 2 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"213" 15 3 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"214" 15 4 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"215" 15 5 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"216" 15 6 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"217" 15 7 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"218" 15 8 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"219" 15 9 "nrep" 15 1 0 0 0
"220" 15 10 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"221" 15 11 "nrep" 15 1 0 0 0
"222" 15 12 "nrep" 15 1 0 0 0
"223" 15 13 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"224" 15 14 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"225" 15 15 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"226" 16 1 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"227" 16 2 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"228" 16 3 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"229" 16 4 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"230" 16 5 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"231" 16 6 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"232" 16 7 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"233" 16 8 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"234" 16 9 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"235" 16 10 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"236" 16 11 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"237" 16 12 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"238" 16 13 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"239" 16 14 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"240" 16 15 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"241" 17 1 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"242" 17 2 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"243" 17 3 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"244" 17 4 "nrep" 15 1 0 0 0
"245" 17 5 "nrep" 15 1 0 0 0
"246" 17 6 "nrep" 15 1 0 0 0
"247" 17 7 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"248" 17 8 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"249" 17 9 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"250" 17 10 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"251" 17 11 "nrep" 15 1 0 0 0
"252" 17 12 "nrep" 15 1 0 0 0
"253" 17 13 "nrep" 15 1 0 0 0
"254" 17 14 "nrep" 15 1 0 0 0
"255" 17 15 "nrep" 15 1 0 0 0
"256" 18 1 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"257" 18 2 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"258" 18 3 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"259" 18 4 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"260" 18 5 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"261" 18 6 "nrep" 15 1 0 0 0
"262" 18 7 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"263" 18 8 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"264" 18 9 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"265" 18 10 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"266" 18 11 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"267" 18 12 "nrep" 15 1 0 0 0
"268" 18 13 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"269" 18 14 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"270" 18 15 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"271" 19 1 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"272" 19 2 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"273" 19 3 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"274" 19 4 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"275" 19 5 "nrep" 15 1 0 0 0
"276" 19 6 "nrep" 15 1 0 0 0
"277" 19 7 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"278" 19 8 "nrep" 15 1 0 0 0
"279" 19 9 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"280" 19 10 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"281" 19 11 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"282" 19 12 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"283" 19 13 "nrep" 15 1 0 0 0
"284" 19 14 "nrep" 15 1 0 0 0
"285" 19 15 "nrep" 15 1 0 0 0
"286" 20 1 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"287" 20 2 "nrep" 15 0.6 0.50709255283711 0.130930734141595 0.280818495626199
"288" 20 3 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"289" 20 4 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"290" 20 5 "nrep" 15 0.733333333333333 0.457737708217063 0.118187368057056 0.253486693688815
"291" 20 6 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"292" 20 7 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"293" 20 8 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"294" 20 9 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"295" 20 10 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"296" 20 11 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"297" 20 12 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"298" 20 13 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"299" 20 14 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"300" 20 15 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"301" 21 1 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"302" 21 2 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"303" 21 3 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"304" 21 4 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"305" 21 5 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"306" 21 6 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"307" 21 7 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"308" 21 8 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"309" 21 9 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"310" 21 10 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"311" 21 11 "nrep" 15 0.2 0.414039335605413 0.10690449676497 0.229287341540059
"312" 21 12 "nrep" 15 0.333333333333333 0.487950036474267 0.125988157669742 0.270217723405353
"313" 21 13 "nrep" 15 0.0666666666666667 0.258198889747161 0.0666666666666667 0.14298577919452
